time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0,27402,0,0,44,0,0,0
5,27689,0,0,35,0,0,0
10,27606,0,0,27,0,0,0
15,28379,0,0,2,0,0,0
20,27998,0,0,15,0,0,0
25,27479,0,0,38,0,0,0
30,24949,0,0,54,0,0,0
35,26370,0,0,17,0,0,0
40,25724,0,0,11,0,0,0
45,26036,0,0,3,0,0,0
50,25298,0,0,2,0,0,0
55,25980,0,0,3,0,0,0
60,28,0,0,0,0,0,0
# of txns (including aborted) during benchmark period: 320956
TOTAL - committed: 320938, aborted: 18, avg latency: 0.37 ms